Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
ST. CLARETE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.4,33.3,75,9,2,2,0,1,0,0,300,0,0,0,0,0,0,7,7,0,3,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-3.99504, 39.69675)",
BRIGHT STAR PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.2,3.2,4.8,6,2,2,5,1,11,8,19,0,0,0,0,0,0,2,4,1,1,CENTRAL,KIAMBU,THIKA,KAMWANGI,CHANIA,GATUNDU NORTH,"(-0.963983, 36.902204)",
MT. EVEREST ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.6,31.1,27.7,8,4,5,0,2,0,0,249,0,0,0,0,0,0,7,4,4,1,COAST,MOMBASA,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,"(-4.02722, 39.61702)",
HARVEST LAND PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4,8,12,3,1,1,0,1,0,0,24,0,0,0,0,0,0,2,4,1,2,WESTERN,KAKAMEGA,KAKAMEGA,NAVAKHOLO,BUNYALA EAST,LURAMBI,"(0.475462, 34.70047)",
BRIGHT FUTURE SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.023, 39.68878)",
SOY ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.8,14.8,29.5,4,1,1,0,1,0,0,59,0,0,0,0,0,0,2,3,2,0,RIFT VALLEY,BARINGO,KOIBATEK,EMINING,MOGOTIO,EMINING,"(0.140663, 35.901309)",
KALLYPET'S PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,10.2,25.5,5,1,1,0,1,0,0,51,0,0,0,0,0,0,0,0,1,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,KIBULGENY,"(0.569475, 35.24374)",
MBUKIWA PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.1,21.9,15.4,14,10,10,0,3,0,0,307,0,0,0,0,0,0,11,7,5,7,RIFT VALLEY,SAMBURU,SAMBURU,KIRISIA,SAMBURU WEST,MARALAL TOWN,"(1.086306, 36.7058)",
ST MARGARET'S PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.6,7.4,18.5,5,1,1,0,1,0,0,37,0,0,0,0,0,0,4,4,2,2,WESTERN,KAKAMEGA,BUTERE/MUMIAS,MATUNGU,KOYONZO,MATUNGU,"(0.348284502, 34.40719916)",
OTHAYA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.3,4.9,8.5,7,2,2,0,2,0,0,34,0,0,0,0,0,0,0,8,1,1,CENTRAL,NYERI,NYERI,OTHAYA,IRIA-INI,OTHAYA,"(-0.549579, 36.941192)",
SISTERS PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,6,4.5,4,8,5,4,0,2,0,0,36,0,0,0,0,0,0,4,2,1,1,CENTRAL,MURANG'A,MARAGUA,MARAGUA,ICHAGAKI,MARAGWA,"(-0.801617, 37.128033)",
NEW GLORY ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,ROYSAMBU,KASARANI,"(-1.197247, 36.885662)",
ROMANS JUNIOR ACADEMY PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.2,7.6,3.8,8,8,8,0,2,0,0,61,0,0,0,0,0,0,1,4,0,1,CENTRAL,KIAMBU,KIAMBU,LARI,KIRENGA,LARI,"(-0.99075, 36.65298)",
VIKWATHANI PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.3,4.3,6.5,3,1,1,0,1,0,0,13,0,0,0,0,0,0,1,2,2,0,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.00535, 39.68474)",
MOSOMBOR PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,NANDI,UASIN GISHU,KAPSARET,ELDORET SOUTH,KAPSARET,"(0.458122, 35.237925)",
TONNY MEMORIAL EDUCATION CENTRE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.2,20.9,41.8,8,2,2,0,1,0,0,167,0,0,0,0,0,0,9,2,5,1,WESTERN,BUNGOMA,BUNGOMA,WEBUYE,WEBUYE,WEBUYE,"(0.609456, 34.770492)",
ST.PAULS OL JOROOK PRIMARY SCH.,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,27.7,20.8,23.7,16,7,7,0,2,0,0,332,0,0,0,0,0,0,5,7,4,5,CENTRAL,NYANDARUA,NYANDARUA,OL JORO OROK,GATIMU,OL_KALOU,"(-0.063748, 36.36896)",
THIKA ROAD ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.1,23.8,14.7,16,12,14,0,4,0,0,381,0,0,0,0,0,0,6,14,9,3,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.194927, 36.93797)",
JASA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.5,2.5,2.5,2,1,1,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,CENTRAL,KIAMBU,THIKA,RUIRU,JUJA,JUJA,"(-1.100833333, 37.06066667)",
VICTORY ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,0,5.8,14.5,5,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KABETE,KABETE,"(-1.21438, 36.70416)",
AGC ACADEMY PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,NAKURU,NAKURU,MAUCHE,MOLO,TUIYOTICH,"(-0.50653, 35.97314)",
GREENWOODS ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.5,9,15.8,7,2,2,0,4,0,0,63,0,0,0,0,0,0,3,3,2,4,RIFT VALLEY,KERICHO,KERICHO,SIGOWET,BELGUT,KIPTERE,"(-0.39349, 35.10352)",
CHEMWENO TOP HILL ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,31.3,9.1,9,13,18,0,6,0,0,282,0,0,0,0,0,0,0,0,5,7,RIFT VALLEY,ELEGEYO-MARAKWET,MARAKWET,KAPSOWAR,MARAKWET WEST,KOBUSWA,"(0.89091, 35.56108)",
BURGURET VIEW ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,17.5,24.1,10.7,8,8,10,0,3,0,0,193,0,0,0,0,0,0,6,5,4,2,CENTRAL,NYERI,NYERI,KIENI EAST,KIAMATHAGE,KIENI,"(-0.130406, 37.03547)",
KAIMBEI ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,KWANZA,KWANZA,KAPOMBOI,"(1.143344, 34.902557)",
ANESTAR PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.9,29.3,14.6,12,10,14,0,4,0,0,351,0,0,0,0,0,0,10,6,4,6,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.23461, 36.172258)",
WINNERS CHILDREN CENTRE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,45,22.5,1,1,1,0,0,0,0,45,0,0,0,0,0,0,0,0,2,1,COAST,MOMBASA,MOMBASA,KISAUNI,KONGOWEA,KISAUNI,"(-4.02827, 39.69811)",
HAPPY TIMES ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.2,23,57.5,5,1,1,0,2,55,60,115,0,0,0,0,0,0,3,3,0,3,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.249199, 36.867995)",
PETALS VIEW PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.9,7.8,7.8,8,4,4,0,2,0,0,62,0,0,0,0,0,0,3,4,1,1,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.238826, 36.238731)",
JUJEN ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.8,2.8,7,5,1,1,0,0,0,0,14,0,0,0,0,0,0,1,4,0,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,KAHAWA,KASARANI,"(-1.187892, 36.910321)",
SATHYA SAI PRIMARY SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,17.9,22.4,35.8,8,3,2,0,1,0,0,179,0,0,0,0,6,4,0,0,3,0,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KINOO,KABETE,"(-1.25324, 36.70226)",
MTWAPA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,ORDINARY,26.3,32.1,48.2,9,2,4,0,2,0,0,289,0,0,0,0,0,0,5,6,5,3,COAST,KILIFI,KILIFI,KIKAMBALA,MTWAPA,BAHARI,"(-3.945061, 39.740504)",
JAGIET ACADEMY (PRI),PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.1,24.6,38.1,17,5,6,0,2,224,195,419,0,0,0,0,0,0,9,10,9,5,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,DAGORETTI,"(-1.279517, 36.738204)",
ROXY SCHOOL KAPSABET,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,24.6,36.9,26.8,8,6,5,0,4,0,0,295,0,0,0,0,0,0,8,4,4,5,RIFT VALLEY,NANDI,NANDI NORTH,KAPSABET,EMGWEN,KAPSABET,"(0.20217, 35.09673)",
ALOE VERA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14.8,15.8,23.7,15,5,5,0,2,0,0,237,0,0,0,0,0,0,7,9,6,5,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIHARA,KIAMBAA,"(-1.19314, 36.73382)",
TREASURE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.6,15.4,11,5,4,3,0,1,0,0,77,0,0,0,0,0,0,3,5,2,2,WESTERN,KAKAMEGA,LUGARI,LUGARI,CHEKALINI,LUGARI,"(0.60117, 34.90651)",
SUNRISE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,TAPSAGOI,"(0.604347, 35.01672)",
PCEA JITEGEMEE PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,NAKURU,NAKURU,NAKURU MUNI.,NAKURU TOWN,LANET,"(-0.306423, 36.004505)",
ST. PATRIC PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,NAKURU,NAKURU,GILGIL,NAIVASHA,GILGIL,"(-0.50487, 36.327189)",
TENDWET JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.6,24,27,9,5,3,0,2,0,0,216,0,0,0,0,0,0,11,2,6,3,RIFT VALLEY,NAROK,NAROK,MULOT,NAROK SOUTH,SAGAMIAN,"(-0.783055, 35.586906)",
BUSY BEE SCH PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.3,28.5,15.2,8,7,8,0,4,0,0,228,0,0,0,0,0,0,6,8,0,0,COAST,MOMBASA,MOMBASA,ISLAND,TUDOR,CHANGAMWE,"(-4.036217, 39.66556)",
BR. RICHARD DAVIDSON PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,KAKAMEGA,KAKAMEGA,SHINYALU,SHIBUYE,SHINYALU,"(0.227558, 34.815155)",
SUNFLOWER ACADEMY (PRI) SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,29.9,37.3,28,12,8,8,0,2,0,0,448,0,0,0,0,0,0,6,9,0,35,NAIROBI,NAIROBI,NAIROBI,STAREHE,HURUMA,STAREHE,"(-1.250615, 36.876907)",
MWANA ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.7,28.8,57.5,8,2,2,0,2,0,0,230,0,0,0,0,0,0,7,6,5,2,WESTERN,BUNGOMA,BUNGOMA,BUMULA,KIMAETI,BUMULA,"(0.570686, 34.390719)",
PRODUCE THE BEST ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.8,13.5,4.5,2,3,3,0,2,0,0,27,0,0,0,0,0,0,1,3,2,1,RIFT VALLEY,BOMET,BOMET,SOTIK,SOTIK,RONGENA,"(-0.769228, 35.101201)",
BEMAR  PRI  SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.5,3.5,7,2,0,1,2,1,4,3,7,0,0,0,0,0,2,0,0,0,0,CENTRAL,MURANG'A,THIKA,GATANGA,GATANGA,GATANGA,"(-0.973697, 36.982638)",
EASTGATE PREPARATORY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.7,11.8,59,10,1,1,0,1,0,0,118,0,0,0,0,0,0,8,3,3,2,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI,"(-1.310375, 36.894448)",
STELLY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.2,13.3,17.7,8,3,3,0,2,0,0,106,0,0,0,0,0,0,0,5,1,3,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KINOO,KABETE,"(-1.25756, 36.71487)",
SHAMA ACADEMY-PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,14.4,17,15.6,11,6,6,0,4,0,0,187,0,0,0,0,4,9,0,0,8,4,CENTRAL,NYERI,NYERI,TETU,TETU,TETU,"(-0.428634166, 36.87891694)",
SUERO PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.9,15.3,10.7,7,5,5,0,3,0,0,107,0,0,0,0,0,0,2,7,1,3,CENTRAL,NYANDARUA,NYANDARUA,OL JORO OROK,GATIMU,OL_KALOU,"(-0.006708, 36.375171)",
MEWA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,14.9,23,21.1,11,6,6,0,2,0,0,253,0,0,0,0,0,0,15,2,2,1,WESTERN,BUNGOMA,BUNGOMA,KANDUYI,TOWNSHIP,KANDUYI,"(0.59532, 34.55573)",
RISE AND SHINE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,26.2,26.2,16.5,12,8,11,0,2,0,0,314,0,0,0,0,0,0,6,6,4,3,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.02108, 39.70099)",
MAU HILLS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11,13.8,27.5,4,1,1,0,2,0,0,55,0,0,0,0,0,0,3,2,1,0,RIFT VALLEY,NAKURU,NAKURU,KURESOI,KURESOI,KURESOI,"(-0.333972, 35.482699)",
TIRITAGOI PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,56,42,37.3,8,3,6,0,2,0,0,336,6,0,0,0,0,0,0,0,1,0,RIFT VALLEY,NAKURU,NAKURU,NJORO,MOLO,NJORO,"(-0.418186, 35.90588)",
ZIWA UPCOUNTRY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,8.2,10.3,20.5,8,2,2,0,1,0,0,82,0,0,0,0,0,0,4,6,3,3,RIFT VALLEY,UASIN GISHU,UASIN GISHU,SOY,ELDORET NORTH,SIRIKWA,"(0.845523, 35.209663)",
SILVERSTONE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,25,25,20,4,2,3,0,1,0,0,100,0,0,0,0,0,0,2,2,1,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,SABOTI,SABOTI,KINYORO,"(1.002315, 34.904947)",
ST. JOHN'S HIGH VISION ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.2,13.3,14.6,11,4,6,12,2,72,74,146,0,0,0,0,5,7,0,0,3,2,CENTRAL,KIAMBU,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,JUJA,"(-1.041388, 37.082388)",
MWAGO ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,12.4,14.9,12.4,10,6,6,0,3,0,0,149,0,0,0,0,0,0,7,5,6,7,CENTRAL,NYERI,NYERI,MUNICIPALITY,KIGANJO,NYERI TOWN,"(-0.430049, 37.017619)",
JUPITER DAY CARE AND YOUTH EDUCATION CENTRE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,DANDORA,EMBAKASI,"(-1.2536, 36.893897)",
ST. SYLVIA JNR ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.8,21.5,86,4,0,1,0,1,0,0,86,0,0,0,0,0,0,0,8,1,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.250986, 36.860822)",
CRESCENT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.4,31.3,34.8,10,4,5,0,2,0,0,313,0,0,0,0,0,0,7,7,6,6,RIFT VALLEY,BARINGO,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,"(0.0404, 35.84189)",
JIRETH MOUNT PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.5,28.1,42.1,12,4,4,0,2,0,0,337,0,0,0,0,0,0,10,5,2,3,RIFT VALLEY,UASIN GISHU,UASIN GISHU,MOIBEN,ELDORET EAST,CHEPKOILEL,"(0.557595, 35.296212)",
NEW VISION KAPTABOI PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.3,16.3,24.5,3,1,1,0,1,0,0,49,0,0,0,0,0,0,1,2,0,1,WESTERN,BUNGOMA,BUNGOMA,KIMILILI,KIBINGEI,KIMILILI,"(0.808202, 34.66187)",
GLORY LAND ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.5,7,3.5,1,1,1,0,1,0,0,7,0,0,0,0,2,0,0,0,0,0,CENTRAL,KIAMBU,KIAMBU,KIAMBAA,KIHARA,KIAMBAA,"(-1.20955, 36.76263)",
MT. OLIVE'S EDUCATION CENTRE - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,"(-1.227002, 36.91905)",
NDIKO GREENVIEW ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.5,23.3,23.3,8,4,4,10,2,95,91,186,0,0,0,0,0,0,7,5,2,1,CENTRAL,KIAMBU,THIKA,KAMWANGI,GITHOBIKONI,GATUNDU NORTH,"(-0.902171, 36.824321)",
JACKSON MAIYO PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,9,22.5,5,1,1,0,2,0,0,45,0,0,0,0,0,0,0,0,0,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,MOIBEN,ELDORET EAST,CHEPKOILEL,"(0.568194, 35.283966)",
MURINDUKO JOSEPH SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.8,16.8,24,10,3,4,0,3,0,0,168,0,0,0,0,0,0,3,7,2,3,CENTRAL,KIRINYAGA,KIRINYAGA,MWEA,MURINDUKO,MWEA,"(-0.553517, 37.443838)",
OLDONYO SABUK PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,12.5,17.1,22.8,8,3,3,8,2,76,61,137,0,0,0,0,0,0,4,7,3,3,CENTRAL,KIAMBU,THIKA,MUNICIPALITY,GATUANYAGA,JUJA,"(-1.104416667, 37.15297222)",
NDIMA KANINI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,22.3,16.2,14.8,11,6,6,0,3,0,0,178,0,0,0,0,0,0,5,3,2,1,CENTRAL,NYERI,NYERI,MATHIRA,IRIA-INI,MATHIRA,"(-0.462476, 37.175665)",
GREAT LEARNERS ED CENTER PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,EMBAKASI,"(-1.266637, 36.922176)",
SUD ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,WESTLANDS,KANGEMI,WESTLANDS,"(-1.272606, 36.733138)",
PRAISE ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16,16,8,1,1,1,0,1,0,0,16,0,0,0,0,0,0,0,1,1,1,WESTERN,BUNGOMA,BUNGOMA,TONGAREN,NAITIRI,KIMILILI,"(0.780641, 34.826549)",
RE-EBENEZER PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,17.6,21.1,26.4,10,4,4,0,1,0,0,211,0,0,0,0,0,0,5,7,2,1,CENTRAL,NYANDARUA,NYANDARUA,OL JORO OROK,GATANJE,OL_KALOU,"(-0.083202, 36.287421)",
NDAMAMA SPRINGS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.3,21.3,21.3,4,2,2,0,1,0,0,85,0,0,0,0,0,0,2,2,1,1,RIFT VALLEY,NAROK,TRANS MARA,PIRRAR,KILGORIS,NJIPSHIP,"(-0.91485, 35.02203)",
SIVER BELLS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,30,38.9,26.4,17,11,14,0,4,0,0,661,0,0,0,0,0,0,10,12,7,3,RIFT VALLEY,KAKAMEGA,UASIN GISHU,SOY,ELDORET NORTH,MOI'S BRIDGE,"(0.824466, 35.123608)",
UPAKO CENTRE - PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.5,12.9,35.5,11,2,2,0,1,0,0,142,0,0,0,0,7,12,0,0,3,3,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,DAGORETTI,"(-1.280578, 36.743946)",
